layout,pitch_ratio,baffle_ratio,U,A_provided,dP_shell_kPa,dP_tube_kPa,Ds_mm,Nt,Nb,Re_shell,ho
square,1.25,0.8499999999999999,351.7571343170681,22.78029151696908,10.149418373688016,2.655497809893155,337.05826676603704,78,16.03318694916737,1460.9369383518645,542.4507458670287
square,1.25,0.8999999999999999,341.2762756797132,23.364401555865726,8.384217483672305,2.5367314777910295,340.2481366751412,80,14.936082046495375,1354.0239354849086,520.2444910446444
square,1.25,0.9499999999999997,328.37081227866906,24.53262163365901,6.772684679743467,2.3228090285459477,346.4956803769388,84,13.825125957342363,1236.9185628075968,494.9947709820594
square,1.25,0.9999999999999998,319.30131804053065,25.11673167255565,5.698660076570547,2.226265218495003,349.55663282526154,86,12.960541845702707,1154.5832893479342,476.59216603116323
square,1.33,0.2,581.2852583847509,14.018640933519434,527.4056748702621,6.417844214960007,282.23867396238376,48,85.45165333809634,9032.658269602101,1167.5110733233403
square,1.33,0.25,531.2738404065614,15.186861011312722,257.24444337668376,5.545394707909986,290.49601040658257,52,66.19541508566509,6821.160499409025,1000.4248872535096
square,1.33,0.3,484.3255845899866,16.93919112800265,135.21030604339956,4.544963082619336,302.23670868854066,58,52.82094960354305,5251.253022995787,866.3772881711267
square,1.33,0.35,450.6174220010665,18.107411205795934,81.06481629932934,4.025876548860585,309.6872768946134,62,44.02237638778392,4287.102338149758,774.9123051183509
square,1.33,0.39999999999999997,421.7664380821384,19.27563128358922,51.70823681268164,3.59380075477247,316.8716083160662,66,37.50139829451369,3583.042619434598,702.1033174215411
square,1.33,0.44999999999999996,396.7105056910612,20.443851361382507,34.60230323021085,3.230070804351648,323.8145359433094,70,32.489677703483316,3049.814518175877,642.5587241560177
square,1.33,0.49999999999999994,378.59130983114227,21.02796140027915,24.93415318309615,3.0693525513429494,327.2022334631626,72,28.82864724576769,2688.2898876459058,599.4794407290914
square,1.33,0.5499999999999999,358.70937751508615,22.196181478072436,17.85722551511613,2.7832088992537614,333.821965401084,76,25.57921944131739,2347.9352319885184,556.4674955336633
square,1.33,0.5999999999999999,340.9359640686525,23.364401555865726,13.12986550942406,2.5367314777910295,340.2481366751412,80,22.904123069743065,2071.742905190751,519.4540809009404
square,1.33,0.6499999999999999,324.93643377004486,24.53262163365901,9.871893193032168,2.3228090285459477,346.4956803769388,84,20.667491783808067,1844.0369348069098,487.23191480877523
square,1.33,0.7,310.44625818266945,25.70084171145229,7.5661562144160595,2.135867178209136,352.5777290120106,88,18.772742285690683,1653.7537022724632,458.9035269867679
square,1.33,0.7499999999999998,297.25295619311487,26.86906178924558,5.896551080535594,1.9714846422747598,358.5059028128335,92,17.149398979529852,1492.8794395181565,433.7865125115963
